,param_max_depth,param_max_features,param_n_estimators,params,rank_test_score
49,1,log2,600,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 600}",159
48,1,log2,550,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 550}",159
34,1,auto,800,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 800}",159
38,1,sqrt,500,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 500}",159
41,1,sqrt,750,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 750}",155
40,1,sqrt,600,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 600}",155
44,1,sqrt,1000,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1000}",155
35,1,auto,1000,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 1000}",155
29,1,auto,500,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 500}",154
30,1,auto,550,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 550}",152
39,1,sqrt,550,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 550}",152
51,1,log2,820,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 820}",151
50,1,log2,750,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 750}",149
31,1,auto,600,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 600}",149
47,1,log2,500,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 500}",147
45,1,log2,100,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 100}",147
43,1,sqrt,800,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 800}",144
46,1,log2,300,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 300}",144
53,1,log2,1000,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 1000}",144
32,1,auto,750,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 750}",143
27,1,auto,100,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 100}",140
42,1,sqrt,820,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 820}",140
52,1,log2,800,"{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 800}",140
33,1,auto,820,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 820}",138
28,1,auto,300,"{'max_depth': 1, 'max_features': 'auto', 'n_estimators': 300}",138
36,1,sqrt,100,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 100}",136
37,1,sqrt,300,"{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 300}",136
55,5,auto,300,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 300}",135
86,10,auto,750,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 750}",126
84,10,auto,550,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 550}",126
15,,sqrt,820,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 820}",126
109,15,auto,300,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 300}",126
100,10,log2,300,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 300}",126
9,,sqrt,100,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 100}",126
144,20,sqrt,100,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 100}",126
21,,log2,550,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 550}",126
136,20,auto,300,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 300}",126
62,5,auto,1000,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 1000}",111
75,5,log2,550,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 550}",111
78,5,log2,820,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 820}",111
77,5,log2,750,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 750}",111
63,5,sqrt,100,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 100}",111
64,5,sqrt,300,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 300}",111
79,5,log2,800,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 800}",111
65,5,sqrt,500,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 500}",111
73,5,log2,300,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 300}",111
76,5,log2,600,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 600}",111
69,5,sqrt,820,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 820}",111
74,5,log2,500,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 500}",111
71,5,sqrt,1000,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1000}",111
80,5,log2,1000,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1000}",111
59,5,auto,750,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 750}",111
153,20,log2,100,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 100}",107
108,15,auto,100,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 100}",107
19,,log2,300,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 300}",107
121,15,sqrt,600,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 600}",107
67,5,sqrt,600,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 600}",92
66,5,sqrt,550,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 550}",92
68,5,sqrt,750,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 750}",92
70,5,sqrt,800,"{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 800}",92
134,15,log2,1000,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 1000}",92
56,5,auto,500,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 500}",92
54,5,auto,100,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 100}",92
90,10,sqrt,100,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 100}",92
155,20,log2,500,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 500}",92
154,20,log2,300,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 300}",92
98,10,sqrt,1000,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1000}",92
12,,sqrt,550,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 550}",92
110,15,auto,500,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 500}",92
23,,log2,750,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 750}",92
88,10,auto,800,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 800}",92
106,10,log2,800,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 800}",77
85,10,auto,600,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 600}",77
114,15,auto,820,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 820}",77
161,20,log2,1000,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 1000}",77
126,15,log2,100,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 100}",77
142,20,auto,800,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 800}",77
4,,auto,600,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 600}",77
156,20,log2,550,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 550}",77
150,20,sqrt,820,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 820}",77
13,,sqrt,600,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 600}",77
145,20,sqrt,300,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 300}",77
146,20,sqrt,500,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 500}",77
135,20,auto,100,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 100}",77
129,15,log2,550,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 550}",77
99,10,log2,100,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 100}",77
140,20,auto,750,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 750}",60
127,15,log2,300,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 300}",60
138,20,auto,550,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 550}",60
149,20,sqrt,750,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 750}",60
130,15,log2,600,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 600}",60
158,20,log2,750,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 750}",60
104,10,log2,750,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 750}",60
159,20,log2,820,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 820}",60
81,10,auto,100,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 100}",60
16,,sqrt,800,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 800}",60
89,10,auto,1000,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 1000}",60
3,,auto,550,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 550}",60
92,10,sqrt,500,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 500}",60
58,5,auto,600,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 600}",60
87,10,auto,820,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 820}",60
22,,log2,600,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 600}",60
61,5,auto,800,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 800}",60
120,15,sqrt,550,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 550}",42
72,5,log2,100,"{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 100}",42
122,15,sqrt,750,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 750}",42
60,5,auto,820,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 820}",42
18,,log2,100,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 100}",42
96,10,sqrt,820,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 820}",42
57,5,auto,550,"{'max_depth': 5, 'max_features': 'auto', 'n_estimators': 550}",42
24,,log2,820,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 820}",42
132,15,log2,820,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 820}",42
119,15,sqrt,500,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 500}",42
0,,auto,100,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 100}",42
160,20,log2,800,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 800}",42
14,,sqrt,750,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 750}",42
2,,auto,500,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 500}",42
147,20,sqrt,550,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 550}",42
157,20,log2,600,"{'max_depth': 20, 'max_features': 'log2', 'n_estimators': 600}",42
11,,sqrt,500,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 500}",42
10,,sqrt,300,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 300}",42
26,,log2,1000,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 1000}",7
8,,auto,1000,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 1000}",7
5,,auto,750,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 750}",7
6,,auto,820,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 820}",7
7,,auto,800,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 800}",7
139,20,auto,600,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 600}",7
152,20,sqrt,1000,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 1000}",7
17,,sqrt,1000,"{'max_depth': None, 'max_features': 'sqrt', 'n_estimators': 1000}",7
20,,log2,500,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 500}",7
148,20,sqrt,600,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 600}",7
141,20,auto,820,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 820}",7
143,20,auto,1000,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 1000}",7
25,,log2,800,"{'max_depth': None, 'max_features': 'log2', 'n_estimators': 800}",7
95,10,sqrt,750,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 750}",7
133,15,log2,800,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 800}",7
131,15,log2,750,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 750}",7
94,10,sqrt,600,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 600}",7
93,10,sqrt,550,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 550}",7
101,10,log2,500,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 500}",7
102,10,log2,550,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 550}",7
103,10,log2,600,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 600}",7
91,10,sqrt,300,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 300}",7
105,10,log2,820,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 820}",7
107,10,log2,1000,"{'max_depth': 10, 'max_features': 'log2', 'n_estimators': 1000}",7
83,10,auto,500,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 500}",7
111,15,auto,550,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 550}",7
113,15,auto,750,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 750}",7
1,,auto,300,"{'max_depth': None, 'max_features': 'auto', 'n_estimators': 300}",7
115,15,auto,800,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 800}",7
116,15,auto,1000,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 1000}",7
118,15,sqrt,300,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 300}",7
123,15,sqrt,820,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 820}",7
124,15,sqrt,800,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 800}",7
125,15,sqrt,1000,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 1000}",7
128,15,log2,500,"{'max_depth': 15, 'max_features': 'log2', 'n_estimators': 500}",7
112,15,auto,600,"{'max_depth': 15, 'max_features': 'auto', 'n_estimators': 600}",1
82,10,auto,300,"{'max_depth': 10, 'max_features': 'auto', 'n_estimators': 300}",1
151,20,sqrt,800,"{'max_depth': 20, 'max_features': 'sqrt', 'n_estimators': 800}",1
117,15,sqrt,100,"{'max_depth': 15, 'max_features': 'sqrt', 'n_estimators': 100}",1
137,20,auto,500,"{'max_depth': 20, 'max_features': 'auto', 'n_estimators': 500}",1
97,10,sqrt,800,"{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 800}",1
